testcase,1,2,best
0,2.0224e-05,2.0256e-05,1.2576e-05
1,5.856e-06,5.92e-06,4.48e-06
2,2.9472e-05,2.6176e-05,2.144e-05
3,1.1264e-05,1.1232e-05,8.832e-06
4,1.7696e-05,1.728e-05,1.2608e-05
5,5.968e-05,6.1824e-05,2.6464e-05
6,1.2256e-05,1.152e-05,1.1072e-05
7,2.8128e-05,2.8064e-05,1.5648e-05
8,0.000115296,0.000102272,3.3984e-05
9,1.5968e-05,1.4144e-05,1.2512e-05
10,3.4016e-05,2.4544e-05,1.9264e-05
11,0.000102944,0.000102976,4.8864e-05
12,2.8928e-05,2.0352e-05,1.6e-05
