testcase,1,2,best
0,1.6512e-05,1.6864e-05,2.1312e-05
1,5.088e-06,4.832e-06,5.12e-06
2,1.8016e-05,1.824e-05,1.3952e-05
3,8e-06,8.16e-06,7.616e-06
4,1.008e-05,9.344e-06,9.632e-06
5,2.3808e-05,2.288e-05,2.304e-05
6,9.76e-06,9.632e-06,8.384e-06
7,1.3312e-05,1.3344e-05,1.3536e-05
8,4.1696e-05,3.5456e-05,3.008e-05
9,1.0592e-05,1.0656e-05,1.0528e-05
10,2.1408e-05,2.1248e-05,2.144e-05
11,4.5248e-05,4.5568e-05,4.5504e-05
12,1.5936e-05,1.5808e-05,1.5744e-05
