testcase,top1,top50,top1 compile time,top50 end2end time
0,0.00019494,6.797e-05,0.001216888427734375,51.12048316001892
1,0.0009368600000000001,0.00023168000000000003,0.0012123584747314453,48.996885538101196
2,0.00032365,0.00024211000000000002,0.0012056827545166016,48.00518798828125
3,0.00011635,3.766e-05,0.0011973381042480469,47.554916858673096
4,0.00115,0.0005238700000000001,0.0012097358703613281,45.16509819030762
5,7.779000000000001e-05,5.4560000000000006e-05,0.001218557357788086,52.16453528404236
6,1e+97,0.00155,0.0012063980102539062,41.14716553688049
7,0.00011082,7.514e-05,0.0012288093566894531,96.87526631355286
8,0.0044800000000000005,0.00172,0.00122833251953125,52.59110188484192
9,1e+97,0.00147,0.001210927963256836,43.13732194900513
10,0.00015184,8.208e-05,0.0012128353118896484,52.08531618118286
