testcase,mean,min,max
0,4.1609999999999996e-05,4.147e-05,4.17e-05
1,9.46e-06,9.44e-06,9.5e-06
2,6.836e-05,6.822000000000001e-05,6.848e-05
3,1.552e-05,1.5419999999999998e-05,1.565e-05
4,3.0623333333333335e-05,3.059e-05,3.066e-05
5,0.00010318666666666667,0.00010307,0.00010326
6,2.6336666666666668e-05,2.6180000000000003e-05,2.653e-05
7,3.210666666666667e-05,3.203e-05,3.216e-05
8,0.00012038333333333332,0.00012019,0.00012048
9,5.027e-05,5.024e-05,5.03e-05
10,4.496e-05,4.467e-05,4.5310000000000005e-05
11,0.00015950666666666666,0.00015942,0.00015958
12,5.992666666666666e-05,5.984e-05,5.997e-05
