testcase,top1,top50,top1 compile time,top50 end2end time
0,8.522e-05,4.147e-05,0.0012390613555908203,47.50515174865723
1,1.706e-05,9.440000000000001e-06,0.0011942386627197266,60.252307653427124
2,0.00011974,6.837999999999999e-05,0.0012326240539550781,47.91868758201599
3,2.506e-05,1.549e-05,0.0012061595916748047,48.284130334854126
4,6.637000000000002e-05,3.059e-05,0.0012469291687011719,47.308485984802246
5,0.00034512000000000003,0.00010307,0.00121307373046875,52.07457423210144
6,4.413e-05,2.63e-05,0.0012180805206298828,62.67473888397217
7,6.774e-05,3.203e-05,0.0012249946594238281,46.980950117111206
8,0.00027981,0.00012019,0.0012180805206298828,43.477288484573364
9,0.00040643,5.024e-05,0.0012061595916748047,45.978752851486206
10,0.00012969999999999998,4.4670000000000004e-05,0.0012371540069580078,46.60688400268555
11,0.00126,0.00015958000000000004,0.0012006759643554688,47.0877799987793
12,0.00047773000000000005,5.984e-05,0.0012362003326416016,46.55381464958191
