testcase,top1,top10,top1 compile time,top10 end2end time
0,9.590000000000001e-05,7.222000000000001e-05,0.0017626285552978516,15.840131521224976
1,0.00041676999999999996,0.00029264,0.0017428398132324219,10.977591514587402
2,0.00018378,0.00014544000000000002,0.0017309188842773438,12.565008878707886
3,4.8960000000000006e-05,4.8e-05,0.0017580986022949219,12.808246374130249
4,0.0005236799999999999,0.0004601,0.0017023086547851562,10.963707208633423
5,3.85e-05,3.85e-05,0.00177764892578125,13.291845560073853
6,1e+97,0.00159,0.0017213821411132812,15.96666145324707
7,5.05e-05,3.482e-05,0.0017535686492919922,23.800750017166138
8,0.0019199999999999998,0.00183,0.001741647720336914,12.249907493591309
9,1e+97,0.0040999999999999995,0.0017600059509277344,14.234506130218506
10,8.358e-05,6.246e-05,0.0017445087432861328,11.929593324661255
