testcase,top1,top10,top1 compile time,top10 end2end time
0,9.523000000000001e-05,7.206e-05,0.001735687255859375,15.218225002288818
1,0.00041683,0.00029472000000000005,0.001760721206665039,11.118064403533936
2,0.0001825,0.00014298,0.0018062591552734375,12.560364484786987
3,5.0560000000000004e-05,4.8e-05,0.0017764568328857422,12.747653007507324
4,0.00052576,0.00046058,0.0018134117126464844,11.484843969345093
5,3.875e-05,3.875e-05,0.0017549991607666016,13.456241369247437
6,1e+97,0.00159,0.0017423629760742188,15.97139596939087
7,5.0180000000000004e-05,3.482e-05,0.0017199516296386719,23.667776823043823
8,0.0019,0.00182,0.0017437934875488281,12.062938213348389
9,1e+97,0.0040999999999999995,0.0017080307006835938,14.173021078109741
10,8.387e-05,6.253e-05,0.0017037391662597656,12.337177038192749
