testcase,top1,top10,top1 compile time,top10 end2end time
0,9.554999999999999e-05,7.242e-05,0.0017595291137695312,15.378501415252686
1,0.00041693000000000003,0.00029286,0.0018143653869628906,11.162547826766968
2,0.00018323,0.00014365,0.0017685890197753906,12.61236572265625
3,4.893e-05,4.815999999999999e-05,0.001726388931274414,13.31036639213562
4,0.00052416,0.00046077,0.001798868179321289,11.224704265594482
5,3.853e-05,3.853e-05,0.0018045902252197266,13.41748595237732
6,1e+97,0.00159,0.0017538070678710938,15.976265907287598
7,5.0140000000000004e-05,3.539e-05,0.0017559528350830078,27.290157079696655
8,0.0019,0.00182,0.0017833709716796875,12.620994567871094
9,1e+97,0.00411,0.0017557144165039062,14.37668490409851
10,8.422e-05,6.192e-05,0.0017554759979248047,12.446493148803711
