testcase,top1,top50,top1 compile time,top50 end2end time
0,3.75e-05,1.734e-05,0.0017476081848144531,59.670196771621704
1,6.72e-06,6.24e-06,0.001737356185913086,109.35683965682983
2,4.678e-05,2.614e-05,0.0017919540405273438,53.916419982910156
3,1.3470000000000001e-05,7.9e-06,0.0017278194427490234,78.2969741821289
4,3.062e-05,1.3630000000000002e-05,0.0017480850219726562,67.73221683502197
5,0.00015286000000000002,4.371e-05,0.001760721206665039,57.55523347854614
6,1.5169999999999999e-05,1.3090000000000002e-05,0.0017817020416259766,89.39131736755371
7,3.2189999999999995e-05,1.587e-05,0.0017421245574951172,55.25973057746887
8,0.00012547,4.701e-05,0.0017743110656738281,48.537126779556274
9,0.00017328000000000002,2.259e-05,0.0017385482788085938,53.24940252304077
10,5.206e-05,2.6079999999999998e-05,0.0018117427825927734,50.12840390205383
11,0.00048995,8.154e-05,0.0017628669738769531,47.9987428188324
12,0.00020224000000000002,2.365e-05,0.0017418861389160156,50.30808186531067
