testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,3.182933333333334e-05,2.8192e-05,3.4304e-05,2.8245333333333332e-05,2.6016e-05,2.9984e-05,2.593066666666667e-05,2.4736e-05,2.8128e-05
1,9.024e-06,8.128e-06,9.472e-06,7.978666666666667e-06,7.68e-06,8.224e-06,7.989333333333333e-06,7.648e-06,8.48e-06
2,3.472e-05,3.0368e-05,3.9072e-05,3.229866666666667e-05,2.8672e-05,3.5168e-05,3.0389333333333334e-05,2.96e-05,3.1232e-05
3,1.7493333333333334e-05,1.6e-05,2.0032e-05,1.5669333333333333e-05,1.5296e-05,1.6032e-05,1.5061333333333333e-05,1.4944e-05,1.5136e-05
4,2.3957333333333335e-05,2.2688e-05,2.4672e-05,2.2912e-05,2.1408e-05,2.4512e-05,2.0479999999999997e-05,1.9648e-05,2.1504e-05
5,4.466133333333333e-05,3.92e-05,5.136e-05,4.1162666666666665e-05,3.9712e-05,4.336e-05,3.6010666666666664e-05,3.4656e-05,3.7664e-05
6,1.7824e-05,1.68e-05,1.9616e-05,1.6832e-05,1.6288e-05,1.7504e-05,1.6490666666666668e-05,1.6256e-05,1.6672e-05
7,2.8416000000000004e-05,2.5568e-05,3.3472e-05,2.8405333333333334e-05,2.5088e-05,3.4176e-05,2.4661333333333334e-05,2.4032e-05,2.5664e-05
8,6.6176e-05,6.1696e-05,7.3664e-05,6.0448e-05,5.4784e-05,6.368e-05,5.2928e-05,5.2608e-05,5.312e-05
9,2.3690666666666667e-05,2.3552e-05,2.3936e-05,2.2261333333333333e-05,2.1056e-05,2.384e-05,2.1482666666666667e-05,2.112e-05,2.2112e-05
10,5.108266666666666e-05,4.2624e-05,6.7808e-05,3.969066666666667e-05,3.8272e-05,4.1696e-05,3.944533333333333e-05,3.8144e-05,4.112e-05
11,0.00010813866666666667,0.000102752,0.000116448,0.00010373333333333332,9.2416e-05,0.00011616,9.794133333333332e-05,8.4576e-05,0.000116864
12,3.5221333333333334e-05,3.2928e-05,3.9008e-05,3.435733333333334e-05,3.1488e-05,3.8816e-05,3.112533333333333e-05,3.1008e-05,3.1232e-05
