testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,7.0304e-05,6.3136e-05,7.5328e-05,6.237866666666667e-05,5.7184e-05,6.5504e-05,5.869866666666666e-05,5.664e-05,6.2464e-05
1,0.00018689066666666666,0.000183872,0.000190944,0.00018473600000000001,0.0001816,0.000190208,0.00017653333333333333,0.000168896,0.000184608
2,0.00020970666666666666,0.000188416,0.0002496,0.00019297066666666666,0.000174304,0.000212992,0.0001897493333333333,0.000174976,0.000201216
3,3.2608000000000004e-05,3.008e-05,3.4976e-05,3.1978666666666666e-05,3.0336e-05,3.2928e-05,3.182933333333334e-05,3.0272e-05,3.2864e-05
4,0.00023377066666666665,0.000220352,0.00024912,0.00022752000000000002,0.000218176,0.000245664,0.00021127466666666668,0.000197664,0.000219968
5,4.429866666666666e-05,4.1024e-05,4.9504e-05,4.194133333333334e-05,3.9712e-05,4.3776e-05,4.0255999999999995e-05,3.9296e-05,4.0832e-05
6,0.00032206933333333334,0.000296064,0.00034656,0.0003054933333333333,0.000291968,0.0003176,0.000254176,0.000242208,0.000273728
7,5.2288e-05,4.6176e-05,5.7984e-05,5.0634666666666665e-05,4.5792e-05,5.8496e-05,4.698666666666667e-05,4.6528e-05,4.7744e-05
8,0.0007725013333333332,0.00073024,0.000832736,0.0007696746666666666,0.000726144,0.000832032,0.0007180693333333333,0.00068592,0.000740512
9,0.0004258133333333333,0.000360512,0.000464544,0.00038891733333333334,0.000279712,0.000453728,0.00034574933333333333,0.0002792,0.000453024
10,9.511466666666667e-05,7.904e-05,0.00010816,9.572266666666666e-05,7.8752e-05,0.0001104,8.462933333333334e-05,7.7952e-05,9.6672e-05
