testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,2.3936e-05,2.2272e-05,2.6592e-05,2.1162666666666666e-05,2.0992e-05,2.1344e-05,2.1109333333333335e-05,2.1024e-05,2.128e-05
1,0.00032228266666666666,0.00030656,0.000348288,0.00030216533333333334,0.000294848,0.000313888,0.00029574399999999997,0.000293696,0.000297952
2,1.856e-05,1.7344e-05,1.936e-05,1.7568000000000002e-05,1.68e-05,1.8624e-05,1.6927999999999998e-05,1.6896e-05,1.6992e-05
3,0.00017826133333333333,0.000163616,0.000189088,0.00017208533333333334,0.00016368,0.000181824,0.00016673066666666667,0.000161824,0.000176096
4,0.0003576426666666666,0.000333408,0.000405824,0.00035483733333333337,0.000329536,0.00040496,0.000337728,0.000327872,0.000352032
5,0.000255808,0.000247424,0.000266624,0.00024985599999999996,0.000247968,0.000252288,0.0002461333333333333,0.000239168,0.000252
