testcase,1,2,best
0,2.5248e-05,2.4928e-05,2.4416e-05
1,7.8336e-05,7.9584e-05,8.1632e-05
2,0.000101952,0.000101792,8.7968e-05
3,1.8016e-05,1.776e-05,1.744e-05
4,0.000117344,0.000117504,0.000116032
5,2.1504e-05,2.1728e-05,1.936e-05
6,0.00016832,0.000168672,0.000145568
7,3.5872e-05,3.6e-05,3.0944e-05
8,0.000400032,0.000401312,0.000352
9,0.00018304,0.000182144,0.00018288
10,5.5104e-05,5.44e-05,5.4528e-05
