testcase,1,2,3,4,5,10,20,best
0,,1.53614e-05,1.53614e-05,1.53614e-05,1.53173e-05,1.06004e-05,9.24827e-06,9.24827e-06
1,,4.12478e-06,3.29231e-06,3.24647e-06,3.13895e-06,3.13895e-06,,3.13895e-06
2,,2.32084e-05,1.88895e-05,1.88895e-05,1.73627e-05,1.64234e-05,1.63166e-05,1.63166e-05
3,,8.91932e-06,7.34183e-06,6.67315e-06,6.67315e-06,6.66362e-06,,6.55342e-06
4,,1.23189e-05,1.23189e-05,1.13134e-05,1.05737e-05,8.85744e-06,,8.46251e-06
5,,4.01614e-05,3.50052e-05,2.86266e-05,2.86266e-05,2.11043e-05,1.84689e-05,1.84689e-05
6,,9.77006e-06,9.12809e-06,9.12578e-06,9.10511e-06,8.589e-06,,8.589e-06
7,,1.82865e-05,1.82865e-05,1.20673e-05,1.20673e-05,1.12673e-05,,1.12577e-05
8,,8.34177e-05,5.85021e-05,2.91489e-05,2.91489e-05,2.71461e-05,2.67966e-05,2.67966e-05
9,1.112e-05,1.112e-05,9.96409e-06,9.9501e-06,9.92696e-06,9.61943e-06,,9.61943e-06
10,2.02252e-05,2.02252e-05,1.58785e-05,1.58694e-05,1.58526e-05,1.46831e-05,,1.46355e-05
11,,6.5324e-05,6.5324e-05,4.9986e-05,4.9986e-05,3.82341e-05,3.82302e-05,3.82302e-05
12,2.36241e-05,2.28106e-05,1.59642e-05,1.31655e-05,1.15158e-05,1.14557e-05,,1.14557e-05
