testcase,1,2,3,4,5,10,20,best
0,1.2683e-05,1.21917e-05,1.17212e-05,1.11093e-05,1.11093e-05,9.58094e-06,,9.58094e-06
1,3.6195e-06,3.44833e-06,3.44833e-06,3.44833e-06,3.44833e-06,3.25967e-06,,3.16546e-06
2,1.72959e-05,1.35386e-05,1.35386e-05,1.35043e-05,1.34593e-05,1.25984e-05,1.07596e-05,1.07596e-05
3,6.06246e-06,5.72058e-06,5.72058e-06,5.72058e-06,5.69019e-06,5.69019e-06,,5.69019e-06
4,7.739e-06,7.68206e-06,7.23769e-06,7.23769e-06,7.18487e-06,,,7.18487e-06
5,2.04641e-05,1.98491e-05,1.7915e-05,1.7915e-05,1.7915e-05,,,1.7915e-05
6,6.826e-06,6.826e-06,6.826e-06,6.826e-06,6.77857e-06,6.74743e-06,,6.51934e-06
7,1.10065e-05,1.0099e-05,1.0099e-05,,,,,1.0099e-05
8,3.53049e-05,3.35849e-05,2.82364e-05,2.56396e-05,2.56396e-05,2.3331e-05,,2.3331e-05
9,8.53185e-06,8.10425e-06,8.10425e-06,8.10425e-06,8.10425e-06,,,8.10425e-06
10,1.6063e-05,1.55086e-05,1.55086e-05,,,,,1.55086e-05
11,4.28732e-05,3.32898e-05,3.23851e-05,3.23851e-05,3.23851e-05,,,3.23851e-05
12,1.26325e-05,1.20176e-05,1.20176e-05,1.20176e-05,,,,1.20176e-05
