testcase,1,2,best
0,1.6864e-05,1.7632e-05,1.1296e-05
1,5.216e-06,5.344e-06,5.28e-06
2,1.7536e-05,1.7568e-05,1.4336e-05
3,8.096e-06,8.224e-06,7.936e-06
4,1.1584e-05,1.232e-05,9.76e-06
5,1.9424e-05,1.9424e-05,1.664e-05
6,9.216e-06,9.056e-06,8.416e-06
7,1.2096e-05,1.2096e-05,1.2096e-05
8,3.5808e-05,3.5552e-05,3.0304e-05
9,1.0688e-05,1.0688e-05,1.1456e-05
10,2.224e-05,1.9584e-05,1.968e-05
11,4.8928e-05,4.8448e-05,4.624e-05
12,1.8176e-05,1.8144e-05,1.792e-05
