testcase,1,2,best
0,3.0624e-05,2.8928e-05,2.592e-05
1,0.000107968,7.8144e-05,7.4144e-05
2,0.000136864,9.584e-05,8.0544e-05
3,1.8592e-05,1.8432e-05,1.8208e-05
4,0.000140864,0.000126176,0.000112672
5,2.3328e-05,2.1472e-05,1.9488e-05
6,0.000155328,0.000152416,0.000140352
7,3.1744e-05,3.0816e-05,2.3872e-05
8,0.000439744,0.000408224,0.000345568
9,0.000198016,0.000198016,0.000181984
10,6.3776e-05,5.4752e-05,5.4752e-05
