testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,1.2554666666666665e-05,1.1648e-05,1.3216e-05,1.2330666666666667e-05,1.1744e-05,1.2928e-05,1.3141333333333334e-05,1.2992e-05,1.3312e-05
1,0.00011376000000000001,0.000102304,0.000120096,0.00011288533333333333,0.000105184,0.000118592,0.00010550400000000001,0.00010176,0.000112736
2,1.0346666666666667e-05,9.376e-06,1.168e-05,9.898666666666667e-06,9.504e-06,1.0624e-05,9.546666666666666e-06,9.536e-06,9.568e-06
3,7.003733333333333e-05,6.4256e-05,7.3952e-05,6.6048e-05,6.3872e-05,6.8544e-05,6.64e-05,6.4448e-05,6.7648e-05
4,0.00015449599999999998,0.000144672,0.000169408,0.00015315200000000001,0.000144576,0.000166656,0.00014725333333333334,0.000144768,0.000150368
5,0.000117056,0.00010432,0.000135392,0.00010721066666666665,9.76e-05,0.000118592,9.904e-05,9.8464e-05,9.9968e-05
