testcase,1,2,best,Run,testcase,1,2,best,Run,testcase,1,2,best,Run,Experiment
0,1.1648e-05,1.1648e-05,1.1648e-05,0,0,1.3216e-05,1.232e-05,1.232e-05,1,0,1.28e-05,1.1744e-05,1.1744e-05,2,mm
1,0.000102304,0.000102304,0.000102016,0,1,0.00011888,0.000118592,0.00010176,1,1,0.000120096,0.00011488,0.000112736,2,mm
2,9.376e-06,9.376e-06,9.376e-06,0,2,1.168e-05,1.0624e-05,9.536e-06,1,2,9.984e-06,9.568e-06,9.536e-06,2,mm
3,7.3952e-05,6.5728e-05,6.5728e-05,0,3,6.4256e-05,6.3872e-05,6.3872e-05,1,3,7.1904e-05,6.8544e-05,6.7104e-05,2,mm
4,0.000169408,0.000166656,0.000150368,0,4,0.000144672,0.000144576,0.000144576,1,4,0.000149408,0.000148224,0.000146624,2,mm
5,0.000135392,0.000118592,9.8688e-05,0,5,0.00010432,9.76e-05,9.76e-05,1,5,0.000111456,0.00010544,9.9968e-05,2,mm
0,1.4624e-05,1.4624e-05,1.4624e-05,0,0,1.392e-05,1.392e-05,1.392e-05,1,0,1.3056e-05,1.3056e-05,1.2416e-05,2,resnet
1,5.056e-06,4.96e-06,4.96e-06,0,1,5.216e-06,5.216e-06,4.896e-06,1,1,5.056e-06,4.736e-06,4.736e-06,2,resnet
2,1.856e-05,1.856e-05,1.5584e-05,0,2,1.792e-05,1.792e-05,1.3664e-05,1,2,1.6576e-05,1.6512e-05,1.536e-05,2,resnet
3,1.0592e-05,1.0592e-05,8.448e-06,0,3,8.224e-06,8.096e-06,7.52e-06,1,3,9.248e-06,8e-06,7.584e-06,2,resnet
4,1.3056e-05,1.3056e-05,9.856e-06,0,4,1.2736e-05,1.2736e-05,9.984e-06,1,4,1.2288e-05,1.2192e-05,9.952e-06,2,resnet
5,3.0848e-05,2.2208e-05,2.1408e-05,0,5,2.3392e-05,2.336e-05,1.6992e-05,1,5,3.1072e-05,2.4224e-05,1.8912e-05,2,resnet
6,8.768e-06,8.768e-06,8.192e-06,0,6,9.472e-06,9.152e-06,8.064e-06,1,6,8.192e-06,8.096e-06,8.096e-06,2,resnet
7,1.3952e-05,1.3952e-05,1.264e-05,0,7,2.1408e-05,2.1248e-05,1.3664e-05,1,7,1.9616e-05,1.9616e-05,1.6736e-05,2,resnet
8,3.76e-05,3.088e-05,2.976e-05,0,8,5.2416e-05,4.4928e-05,2.5824e-05,1,8,3.312e-05,3.2352e-05,3.2352e-05,2,resnet
9,1.2128e-05,1.2128e-05,1.104e-05,0,9,1.0944e-05,1.0944e-05,1.0912e-05,1,9,1.1712e-05,1.1232e-05,1.1072e-05,2,resnet
10,3.536e-05,1.9872e-05,1.9648e-05,0,10,3.0624e-05,2.0224e-05,2.0096e-05,1,10,2.0064e-05,1.9712e-05,1.9712e-05,2,resnet
11,5.3696e-05,4.6112e-05,4.3968e-05,0,11,6.1216e-05,5.4912e-05,4.2496e-05,1,11,6.08e-05,4.4448e-05,4.2496e-05,2,resnet
12,1.7536e-05,1.5392e-05,1.5392e-05,0,12,1.52e-05,1.52e-05,1.52e-05,1,12,1.6032e-05,1.5104e-05,1.5104e-05,2,resnet
0,3.1936e-05,3.184e-05,2.576e-05,0,0,3.0624e-05,2.8928e-05,2.592e-05,1,0,2.5824e-05,2.5824e-05,2.5824e-05,2,yolo
1,0.000117952,0.000116512,7.8752e-05,0,1,0.000107968,7.8144e-05,7.4144e-05,1,1,8.3712e-05,8.3712e-05,7.952e-05,2,yolo
2,0.000122464,8.4128e-05,8.2464e-05,0,2,0.000136864,9.584e-05,8.0544e-05,1,2,0.00010224,0.000102144,8.2624e-05,2,yolo
3,2.6368e-05,1.8848e-05,1.8848e-05,0,3,1.8592e-05,1.8432e-05,1.8208e-05,1,3,2.1184e-05,1.9872e-05,1.888e-05,2,yolo
4,0.00010544,0.000104448,9.504e-05,0,4,0.000140864,0.000126176,0.000112672,1,4,0.000146112,0.000143584,9.3184e-05,2,yolo
5,2.656e-05,2.2208e-05,2.1376e-05,0,5,2.3328e-05,2.1472e-05,1.9488e-05,1,5,2.224e-05,2.16e-05,1.8656e-05,2,yolo
6,0.000159584,0.000137408,0.000125984,0,6,0.000155328,0.000152416,0.000140352,1,6,0.000131168,0.000121536,0.000121536,2,yolo
7,3.1616e-05,2.9824e-05,2.4096e-05,0,7,3.1744e-05,3.0816e-05,2.3872e-05,1,7,3.12e-05,2.7936e-05,2.4128e-05,2,yolo
8,0.00046352,0.0004016,0.000389888,0,8,0.000439744,0.000408224,0.000345568,1,8,0.000421056,0.000415808,0.000353824,2,yolo
9,0.000316704,0.000316512,0.000209824,0,9,0.000198016,0.000198016,0.000181984,1,9,0.000253216,0.000167424,0.000167424,2,yolo
10,5.7216e-05,5.4592e-05,5.44e-05,0,10,6.3776e-05,5.4752e-05,5.4752e-05,1,10,5.248e-05,5.2e-05,5.2e-05,2,yolo
