testcase,1,2,best,Run,testcase,1,2,best,Run,testcase,1,2,best,Run,Experiment
0,1.6128e-05,1.376e-05,1.3024e-05,0,0,3.0528e-05,1.3664e-05,1.1424e-05,1,0,1.952e-05,1.3504e-05,1.3504e-05,2,mm
1,0.0001584,0.000144832,0.000118816,0,1,0.000161952,0.000147456,0.000125824,1,1,0.000184256,0.0001352,0.00011232,2,mm
2,1.3952e-05,1.0624e-05,9.952e-06,0,2,2.8864e-05,1.3728e-05,1.2544e-05,1,2,1.28e-05,1.0976e-05,1.0304e-05,2,mm
3,0.000122496,0.000116192,7.2352e-05,0,3,9.7536e-05,9.5104e-05,8e-05,1,3,0.000109408,9.9104e-05,8.7008e-05,2,mm
4,0.000237792,0.000236512,0.000206112,0,4,0.000207744,0.000207744,0.000155104,1,4,0.000261504,0.000259904,0.00015632,2,mm
5,0.000173792,0.000160736,0.000112032,0,5,0.000136416,0.000130336,9.8656e-05,1,5,0.000192256,0.00012304,0.000111392,2,mm
0,2.0544e-05,1.6896e-05,1.6896e-05,0,0,1.696e-05,1.6704e-05,1.408e-05,1,0,2.0224e-05,2.0224e-05,1.2576e-05,2,resnet
1,5.984e-06,5.76e-06,4.896e-06,0,1,7.872e-06,6.816e-06,5.344e-06,1,1,5.856e-06,5.856e-06,4.48e-06,2,resnet
2,5.264e-05,3.1904e-05,1.9008e-05,0,2,3.1456e-05,3.1456e-05,1.7472e-05,1,2,2.9472e-05,2.6176e-05,2.144e-05,2,resnet
3,1.2544e-05,1.1392e-05,9.088e-06,0,3,1.2608e-05,1.2512e-05,7.488e-06,1,3,1.1264e-05,1.1232e-05,8.832e-06,2,resnet
4,1.7376e-05,1.648e-05,1.0752e-05,0,4,3.2512e-05,2.8192e-05,1.1584e-05,1,4,1.7696e-05,1.728e-05,1.2608e-05,2,resnet
5,4.2112e-05,4.2112e-05,1.8624e-05,0,5,4.1824e-05,3.6288e-05,2.2784e-05,1,5,5.968e-05,5.968e-05,2.6464e-05,2,resnet
6,1.7376e-05,1.7312e-05,9.376e-06,0,6,1.6384e-05,1.2608e-05,8.128e-06,1,6,1.2256e-05,1.152e-05,1.1072e-05,2,resnet
7,5.4944e-05,1.8432e-05,1.3248e-05,0,7,2.6368e-05,1.6448e-05,1.1904e-05,1,7,2.8128e-05,2.8064e-05,1.5648e-05,2,resnet
8,4.3904e-05,4.384e-05,3.184e-05,0,8,0.000102784,6.9056e-05,3.7568e-05,1,8,0.000115296,0.000102272,3.3984e-05,2,resnet
9,1.408e-05,1.408e-05,1.3056e-05,0,9,1.5072e-05,1.1936e-05,1.1936e-05,1,9,1.5968e-05,1.4144e-05,1.2512e-05,2,resnet
10,3.792e-05,2.1376e-05,2.0256e-05,0,10,4.0224e-05,3.6224e-05,1.9776e-05,1,10,3.4016e-05,2.4544e-05,1.9264e-05,2,resnet
11,8.6944e-05,8.6944e-05,4.2208e-05,0,11,8.208e-05,8.208e-05,4.096e-05,1,11,0.000102944,0.000102944,4.8864e-05,2,resnet
12,2.5472e-05,2.448e-05,2.448e-05,0,12,2.592e-05,2.592e-05,1.7824e-05,1,12,2.8928e-05,2.0352e-05,1.6e-05,2,resnet
0,5.1328e-05,3.8368e-05,3.0272e-05,0,0,5.0112e-05,5.0112e-05,3.7056e-05,1,0,5.9072e-05,4.9344e-05,2.8352e-05,2,yolo
1,0.000142592,0.000142592,0.000111328,0,1,0.000129056,0.000126048,9.9808e-05,1,1,0.000163008,0.000162848,0.000101024,2,yolo
2,0.000147424,0.000147424,9.7856e-05,0,2,0.000161312,0.000161184,8.96e-05,1,2,0.000142368,0.000142368,0.000107904,2,yolo
3,3.0976e-05,3.0976e-05,2.8288e-05,0,3,2.912e-05,2.7488e-05,2e-05,1,3,3.3344e-05,2.3104e-05,1.9456e-05,2,yolo
4,0.000184544,0.000183904,0.00010496,0,4,0.000168192,0.000167968,0.0001152,1,4,0.00024496,0.000200256,0.000121504,2,yolo
5,3.4336e-05,3.4336e-05,2.6656e-05,0,5,3.1648e-05,3.1648e-05,2.5056e-05,1,5,3.8496e-05,3.8496e-05,2.6368e-05,2,yolo
6,0.0005232,0.000278752,0.000204448,0,6,0.000293632,0.000238624,0.000141408,1,6,0.000241472,0.000217312,0.000139456,2,yolo
7,4.2368e-05,3.616e-05,3.0336e-05,0,7,4.5376e-05,3.7696e-05,2.7968e-05,1,7,4.7104e-05,3.8368e-05,2.7648e-05,2,yolo
8,0.000602784,0.000602784,0.000386048,0,8,0.00059472,0.000462528,0.000400736,1,8,0.000665248,0.000638912,0.000403648,2,yolo
9,0.000389088,0.000389088,0.000168448,0,9,0.00027568,0.00027568,0.000193952,1,9,0.000231872,0.000231136,0.000224512,2,yolo
10,8.2112e-05,6.8576e-05,5.4656e-05,0,10,5.3952e-05,5.3728e-05,5.3504e-05,1,10,6.9792e-05,6.8736e-05,6.7264e-05,2,yolo
