testcase,1,2,best
0,4.1184e-05,4.064e-05,3.1328e-05
1,9.856e-06,9.664e-06,8.288e-06
2,4.064e-05,4.064e-05,3.5712e-05
3,2.8928e-05,2.9568e-05,1.8144e-05
4,2.7776e-05,2.8928e-05,1.7792e-05
5,8.2016e-05,6.8416e-05,3.7152e-05
6,2.528e-05,2.0448e-05,1.6608e-05
7,5.1136e-05,5.1136e-05,2.8352e-05
8,0.000122272,7.9648e-05,6.032e-05
9,3.9232e-05,3.4624e-05,2.5088e-05
10,5.952e-05,4.8224e-05,4.3584e-05
11,0.000170656,0.000132512,0.000106816
12,4.768e-05,3.3856e-05,3.1488e-05
