testcase,1,2,best
0,2.976e-05,2.5792e-05,2.5792e-05
1,0.000378752,0.00037792,0.000339744
2,2.4448e-05,1.9616e-05,1.8336e-05
3,0.000212768,0.00020528,0.000181408
4,0.000460256,0.000385568,0.000352832
5,0.00035904,0.000339488,0.00022256
