testcase,1,2,best
0,3.2992e-05,2.9984e-05,2.4928e-05
1,9.472e-06,8.032e-06,7.84e-06
2,3.0368e-05,2.8672e-05,2.8672e-05
3,2.0032e-05,1.568e-05,1.5104e-05
4,2.2688e-05,2.2688e-05,2.0288e-05
5,5.136e-05,3.9712e-05,3.5712e-05
6,1.68e-05,1.6704e-05,1.6544e-05
7,2.5568e-05,2.5088e-05,2.5088e-05
8,7.3664e-05,5.4784e-05,5.312e-05
9,2.3552e-05,2.1056e-05,2.1056e-05
10,6.7808e-05,4.1696e-05,4.112e-05
11,0.000105216,9.2416e-05,9.2384e-05
12,3.2928e-05,3.1488e-05,3.1136e-05
