testcase,1,2,best
0,3.7664e-05,3.7664e-05,2.7328e-05
1,9.792e-06,8.512e-06,8.224e-06
2,6.3104e-05,3.5136e-05,3.312e-05
3,2.1376e-05,2.1376e-05,1.7792e-05
4,2.6592e-05,2.6592e-05,1.952e-05
5,6.512e-05,6.512e-05,3.936e-05
6,3.712e-05,2.2464e-05,1.7184e-05
7,4.8032e-05,4.8032e-05,2.4288e-05
8,0.0001232,9.1744e-05,6.1344e-05
9,3.7184e-05,3.3408e-05,2.7072e-05
10,6.864e-05,4.384e-05,4.2784e-05
11,0.000164128,0.000164128,0.00010768
12,3.7408e-05,3.6736e-05,3.6736e-05
