testcase,1,2,best
0,2.2272e-05,2.0992e-05,2.0992e-05
1,0.000348288,0.00029776,0.000295584
2,1.936e-05,1.68e-05,1.68e-05
3,0.00018208,0.000181824,0.000161824
4,0.000333696,0.000330016,0.000330016
5,0.000253376,0.000252288,0.000252
