testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,Experiment
0,7.069e-05,3.674e-05,0.0012743473052978,11.69769048690796,0,top10,,0,7.107e-05,3.67e-05,0.0008463859558105,18.479430437088013,0,top50,,0,7.138999999999999e-05,3.6830000000000005e-05,0.0012934207916259,11.536887407302856,1,top10,,0,7.03e-05,3.667e-05,0.0008363723754882,18.440433263778687,1,top50,,0,7.046e-05,3.699e-05,0.0012845993041992,11.578535556793211,2,top10,,0.0,7.098e-05,3.677e-05,0.001279592514038,19.17376708984375,2.0,top50,,mm
1,0.00043478,0.00037808,0.0012798309326171,12.44497013092041,0,top10,,1,0.00043402,0.00037878,0.0008356571197509,14.829609870910645,0,top50,,1,0.00043712,0.0003776999999999,0.0012660026550292,12.482077598571776,1,top10,,1,0.00043398,0.00037808,0.0008292198181152,14.609285593032835,1,top50,,1,0.00043504,0.00037808,0.001288890838623,12.59653091430664,2,top10,,1.0,0.0004360299999999,0.00037782,0.001270055770874,16.37117600440979,2.0,top50,,mm
2,5.3920000000000006e-05,2.848e-05,0.0012669563293457,11.4700288772583,0,top10,,2,5.270000000000001e-05,2.8260000000000004e-05,0.000823974609375,18.372884273529053,0,top50,,2,5.306e-05,2.8190000000000003e-05,0.0012645721435546,11.67719030380249,1,top10,,2,5.325e-05,2.8350000000000005e-05,0.0008454322814941,18.42564606666565,1,top50,,2,5.293e-05,2.861e-05,0.0012800693511962,11.610499620437622,2,top10,,2.0,5.248e-05,2.8350000000000005e-05,0.0012798309326171,19.03410696983337,2.0,top50,,mm
3,0.00032864,0.00029158,0.0012943744659423,11.685151100158691,0,top10,,3,0.0003305,0.00028954,0.0008249282836914,14.046221494674684,0,top50,,3,0.00032979,0.00029123,0.0012743473052978,11.5669105052948,1,top10,,3,0.00033043,0.00028944,0.000856876373291,14.186712980270386,1,top50,,3,0.00032922,0.00029126,0.0012781620025634,11.587262868881226,2,top10,,3.0,0.00032979,0.00028941,0.0012683868408203,15.305574655532835,2.0,top50,,mm
4,0.00074973,0.0006176,0.0012984275817871,12.578969955444336,0,top10,,4,0.00074998,0.00061789,0.0008463859558105,15.075819492340088,0,top50,,4,0.00075491,0.00061763,0.0012800693511962,12.38783884048462,1,top10,,4,0.00075034,0.0006172799999999,0.0008685588836669,14.857309818267822,1,top50,,4,0.0007497,0.0006171799999999,0.0012650489807128,12.201539516448976,2,top10,,4.0,0.00075379,0.00061712,0.0012900829315185,16.07749915122986,2.0,top50,,mm
5,0.00054416,0.00046726,0.0012903213500976,11.966586351394652,0,top10,,5,0.0005401,0.00046714,0.0008447170257568,14.5566143989563,0,top50,,5,0.0005415,0.00046694,0.0012907981872558,11.86695408821106,1,top10,,5,0.00054115,0.00046726,0.0008614063262939,14.274458646774292,1,top50,,5,0.00054166,0.00046864,0.0012874603271484,12.038741827011108,2,top10,,5.0,0.0005421099999999,0.0004672,0.0013437271118164,15.78001356124878,2.0,top50,,mm
0,8.525000000000001e-05,8.525000000000001e-05,0.0017857551574707,10.950644493103027,0,top10,,0,8.522e-05,4.147e-05,0.0012390613555908,47.50515174865723,0,top50,,0,8.533999999999999e-05,8.533999999999999e-05,0.001786470413208,11.056145191192629,1,top10,,0,8.531000000000001e-05,4.166e-05,0.0012130737304687,49.32444047927856,1,top50,,0,8.544000000000001e-05,8.544000000000001e-05,0.0017898082733154,10.937281608581545,2,top10,,0.0,8.544000000000001e-05,4.17e-05,0.0012459754943847,50.20477652549744,2.0,top50,,resnet
1,1.709e-05,9.41e-06,0.0017619132995605,28.10854458808899,0,top10,,1,1.706e-05,9.44e-06,0.0011942386627197,60.25230765342712,0,top50,,1,1.677e-05,9.41e-06,0.0017943382263183,28.174088954925537,1,top10,,1,1.702e-05,9.5e-06,0.0017821788787841,64.79048728942871,1,top50,,1,1.728e-05,9.41e-06,0.001788854598999,28.395777463912964,2,top10,,1.0,1.718e-05,9.44e-06,0.0012295246124267,58.540263414382935,2.0,top50,,resnet
2,0.00012093,9.037e-05,0.0018122196197509,11.48325800895691,0,top10,,2,0.00011974,6.837999999999999e-05,0.001232624053955,47.91868758201599,0,top50,,2,0.0001208599999999,9.008e-05,0.0017707347869873,11.545287370681764,1,top10,,2,0.00012038,6.848e-05,0.0012323856353759,49.35476660728455,1,top50,,2,0.00012141,9.002000000000001e-05,0.0017738342285156,11.3778555393219,2,top10,,2.0,0.00012045,6.822000000000001e-05,0.0012164115905761,47.94406700134277,2.0,top50,,resnet
3,2.49e-05,2.49e-05,0.0017886161804199,11.202769994735718,0,top10,,3,2.506e-05,1.549e-05,0.0012061595916748,48.284130334854126,0,top50,,3,2.496e-05,2.496e-05,0.0018181800842285,11.282856702804564,1,top10,,3,2.512e-05,1.565e-05,0.0012235641479492,48.53836703300476,1,top50,,3,2.496e-05,2.496e-05,0.0017757415771484,11.017553567886353,2,top10,,3.0,2.515e-05,1.5419999999999998e-05,0.0012311935424804,47.05816650390625,2.0,top50,,resnet
