testcase,top1,top10,top1 compile time,top10 end2end time
0,8.525000000000001e-05,8.525000000000001e-05,0.0017857551574707031,10.950644493103027
1,1.709e-05,9.41e-06,0.0017619132995605469,28.10854458808899
2,0.00012093000000000001,9.037e-05,0.0018122196197509766,11.48325800895691
3,2.49e-05,2.49e-05,0.0017886161804199219,11.202769994735718
4,6.63e-05,3.334e-05,0.0018143653869628906,10.186054706573486
5,0.00034429,0.00011773,0.0017676353454589844,13.013319730758667
6,4.39e-05,2.643e-05,0.0017910003662109375,31.06195592880249
7,6.778e-05,3.571e-05,0.0018115043640136719,10.466906070709229
8,0.00027894000000000004,0.00027894000000000004,0.0017538070678710938,11.503447771072388
9,0.0004057,8.259000000000001e-05,0.0017428398132324219,10.99888300895691
10,0.00012963,4.646e-05,0.0017714500427246094,11.433603525161743
11,0.00126,0.0003259800000000001,0.0017538070678710938,12.163345336914062
12,0.00047741000000000005,8.269e-05,0.0017518997192382812,11.143997192382812
