testcase,top1,top50,top1 compile time,top50 end2end time
0,8.544000000000001e-05,4.1700000000000004e-05,0.0012459754943847656,50.20477652549744
1,1.718e-05,9.440000000000001e-06,0.0012295246124267578,58.540263414382935
2,0.00012045,6.822000000000001e-05,0.0012164115905761719,47.94406700134277
3,2.5149999999999998e-05,1.5419999999999998e-05,0.0012311935424804688,47.05816650390625
4,6.643e-05,3.066e-05,0.0012416839599609375,47.43765735626221
5,0.00034435000000000005,0.00010326000000000001,0.001190185546875,49.299455881118774
6,4.426e-05,2.6180000000000003e-05,0.0012388229370117188,62.62953209877014
7,6.656000000000001e-05,3.2130000000000006e-05,0.0012111663818359375,46.17373466491699
8,0.0002792,0.00012048,0.0012216567993164062,45.57923650741577
9,0.00040579000000000006,5.0270000000000005e-05,0.0012161731719970703,44.35746717453003
10,0.00013113999999999997,4.49e-05,0.0012204647064208984,45.42928767204285
11,0.00126,0.00015942,0.0012259483337402344,47.297457695007324
12,0.0004799,5.9970000000000004e-05,0.0012226104736328125,48.1565887928009
