testcase,top1,top10,top1 compile time,top10 end2end time
0,0.00019413999999999998,0.00014154,0.0018117427825927734,14.863165378570557
1,0.00093667,0.00053187,0.0017490386962890625,11.640926122665405
2,0.00032211,0.00028896,0.0017862319946289062,13.086164712905884
3,0.00011603000000000001,0.00011142,0.0018270015716552734,13.465066194534302
4,0.00115,0.0011200000000000001,0.0017571449279785156,8.855947256088257
5,7.779000000000001e-05,7.77e-05,0.0017893314361572266,14.120079278945923
6,1e+97,0.00383,0.0017752647399902344,14.552865266799927
7,0.00011123,7.578e-05,0.001760721206665039,23.288346767425537
8,0.0044800000000000005,0.0040999999999999995,0.0017518997192382812,11.083817720413208
9,1e+97,0.01001,0.0017781257629394531,12.18668270111084
10,0.00015280000000000003,0.00012595,0.0017740726470947266,12.739637851715088
