testcase,top1,top50,top1 compile time,top50 end2end time
0,0.0001937,6.739e-05,0.001216888427734375,50.946656703948975
1,0.00093606,0.00023418,0.0011899471282958984,48.08697199821472
2,0.00032201999999999996,0.00024124999999999998,0.0012149810791015625,48.755889654159546
3,0.00011587,3.712e-05,0.001226663589477539,48.011868476867676
4,0.00115,0.00052355,0.0012173652648925781,43.182727575302124
5,7.734e-05,5.402000000000001e-05,0.0012242794036865234,51.490678787231445
6,1e+97,0.00155,0.0012164115905761719,40.95459222793579
7,0.00011066,7.523000000000001e-05,0.0012271404266357422,95.91603016853333
8,0.0044800000000000005,0.00172,0.001226186752319336,52.714990854263306
9,1e+97,0.00147,0.0012106895446777344,43.176236629486084
10,0.00015248,8.256000000000001e-05,0.001214742660522461,50.81919980049133
