testcase,top1,top10,top1 compile time,top10 end2end time
0,7.069e-05,3.6740000000000004e-05,0.0012743473052978516,11.697690486907959
1,0.00043478,0.00037808,0.0012798309326171875,12.44497013092041
2,5.3920000000000006e-05,2.8480000000000002e-05,0.0012669563293457031,11.4700288772583
3,0.00032864,0.00029158,0.0012943744659423828,11.685151100158691
4,0.00074973,0.0006176,0.0012984275817871094,12.578969955444336
5,0.00054416,0.00046726,0.0012903213500976562,11.966586351394653
