testcase,mean,min,max
0,3.1e-05,3.037e-05,3.146e-05
1,0.00011142666666666667,0.00011053,0.00011293
2,0.00011967999999999999,0.00011885,0.0001208
3,2.112e-05,2.0960000000000003e-05,2.138e-05
4,0.00026912,0.00026896,0.00026931
5,2.661333333333333e-05,2.656e-05,2.669e-05
6,0.0006115,0.00061136,0.00061168
7,3.473000000000001e-05,3.4590000000000006e-05,3.485e-05
8,0.0010333333333333334,0.001,0.00105
9,0.0005994866666666666,0.00059904,0.00060035
10,5.419666666666667e-05,5.395e-05,5.45e-05
